"","year","Description","Value"
"435","2018","Biofuels Plant Net Production","1233.816"
"436","2019","Biofuels Plant Net Production","1125.065"
"437","2020","Biofuels Plant Net Production","1008.861"
"438","2021","Biofuels Plant Net Production","1136.047"
"439","1949","Petroleum Processing Gain","-1.603"
"440","1950","Petroleum Processing Gain","1.951"
"441","1951","Petroleum Processing Gain","7.255"
"442","1952","Petroleum Processing Gain","6.973"
"443","1953","Petroleum Processing Gain","19.682"
"444","1954","Petroleum Processing Gain","23.2"
"445","1955","Petroleum Processing Gain","33.852"
"446","1956","Petroleum Processing Gain","42.907"
"447","1957","Petroleum Processing Gain","41.532"
"448","1958","Petroleum Processing Gain","63.54"
"449","1959","Petroleum Processing Gain","86.326"
"450","1960","Petroleum Processing Gain","145.579"
"451","1961","Petroleum Processing Gain","179.258"
"452","1962","Petroleum Processing Gain","175.071"
"453","1963","Petroleum Processing Gain","201.945"
"454","1964","Petroleum Processing Gain","216.762"
"455","1965","Petroleum Processing Gain","219.838"
"456","1966","Petroleum Processing Gain","245.301"
"457","1967","Petroleum Processing Gain","292.033"
"458","1968","Petroleum Processing Gain","318.828"
"459","1969","Petroleum Processing Gain","335.375"
"460","1970","Petroleum Processing Gain","359.047"
"461","1971","Petroleum Processing Gain","382.008"
"462","1972","Petroleum Processing Gain","388.418"
"463","1973","Petroleum Processing Gain","453.392"
"464","1974","Petroleum Processing Gain","480.151"
"465","1975","Petroleum Processing Gain","459.677"
"466","1976","Petroleum Processing Gain","477.254"
"467","1977","Petroleum Processing Gain","524.425"
"468","1978","Petroleum Processing Gain","496.392"
"469","1979","Petroleum Processing Gain","527.225"
"470","1980","Petroleum Processing Gain","597.314"
"471","1981","Petroleum Processing Gain","507.699"
"472","1982","Petroleum Processing Gain","530.608"
"473","1983","Petroleum Processing Gain","487.762"
"474","1984","Petroleum Processing Gain","553.44"
"475","1985","Petroleum Processing Gain","557.378"
"476","1986","Petroleum Processing Gain","616.247"
"477","1987","Petroleum Processing Gain","639.082"
"478","1988","Petroleum Processing Gain","655.082"
"479","1989","Petroleum Processing Gain","661.411"
"480","1990","Petroleum Processing Gain","683.238"
"481","1991","Petroleum Processing Gain","714.962"
"482","1992","Petroleum Processing Gain","771.932"
"483","1993","Petroleum Processing Gain","766.337"
"484","1994","Petroleum Processing Gain","768.005"
"485","1995","Petroleum Processing Gain","774.296"
"486","1996","Petroleum Processing Gain","837.276"
"487","1997","Petroleum Processing Gain","849.529"
"488","1998","Petroleum Processing Gain","886.156"
"489","1999","Petroleum Processing Gain","886.274"
"490","2000","Petroleum Processing Gain","947.792"
"491","2001","Petroleum Processing Gain","903.186"
"492","2002","Petroleum Processing Gain","956.562"
"493","2003","Petroleum Processing Gain","974.088"
"494","2004","Petroleum Processing Gain","1051.087"
"495","2005","Petroleum Processing Gain","989.4"
"496","2006","Petroleum Processing Gain","994"
"497","2007","Petroleum Processing Gain","995.696"
"498","2008","Petroleum Processing Gain","992.896"
"499","2009","Petroleum Processing Gain","978.564"
"500","2010","Petroleum Processing Gain","1067.658"
"501","2011","Petroleum Processing Gain","1076.384"
"502","2012","Petroleum Processing Gain","1059.328"
"503","2013","Petroleum Processing Gain","1086.666"
"504","2014","Petroleum Processing Gain","1080.515"
"505","2015","Petroleum Processing Gain","1061.945"
"506","2016","Petroleum Processing Gain","1117.97"
"507","2017","Petroleum Processing Gain","1111.266"
"508","2018","Petroleum Processing Gain","1138.118"
"509","2019","Petroleum Processing Gain","1068.849"
"510","2020","Petroleum Processing Gain","922.869"
"511","2021","Petroleum Processing Gain","955.679"
"512","1949","Petroleum Imports","645.367"
"513","1950","Petroleum Imports","850.03"
"514","1951","Petroleum Imports","844.367"
"515","1952","Petroleum Imports","952.205"
"516","1953","Petroleum Imports","1034.244"
"517","1954","Petroleum Imports","1051.932"
"518","1955","Petroleum Imports","1248.121"
"519","1956","Petroleum Imports","1436.041"
"520","1957","Petroleum Imports","1574.216"
"521","1958","Petroleum Imports","1700.244"
"522","1959","Petroleum Imports","1779.679"
"523","1960","Petroleum Imports","1814.511"
"524","1961","Petroleum Imports","1916.893"
"525","1962","Petroleum Imports","2081.625"
"526","1963","Petroleum Imports","2122.501"
"527","1964","Petroleum Imports","2258.842"
"528","1965","Petroleum Imports","2467.868"
"529","1966","Petroleum Imports","2573.047"
"530","1967","Petroleum Imports","2536.962"
"531","1968","Petroleum Imports","2839.806"
"532","1969","Petroleum Imports","3165.893"
"533","1970","Petroleum Imports","3419.348"
"534","1971","Petroleum Imports","3925.699"
"535","1972","Petroleum Imports","4741.295"
"536","1973","Petroleum Imports","6256.145"
"537","1974","Petroleum Imports","6112.184"
"538","1975","Petroleum Imports","6055.712"
"539","1976","Petroleum Imports","7312.598"
"540","1977","Petroleum Imports","8807.249"
"541","1978","Petroleum Imports","8363.411"
"542","1979","Petroleum Imports","8456.129"
"543","1980","Petroleum Imports","6909.025"
"544","1981","Petroleum Imports","5995.673"
"545","1982","Petroleum Imports","5113.311"
"546","1983","Petroleum Imports","5051.353"
"547","1984","Petroleum Imports","5436.982"
"548","1985","Petroleum Imports","5067.144"
"549","1986","Petroleum Imports","6223.512"
"550","1987","Petroleum Imports","6677.696"
"551","1988","Petroleum Imports","7402.021"
"552","1989","Petroleum Imports","8060.545"
"553","1990","Petroleum Imports","8017.521"
"554","1991","Petroleum Imports","7626.748"
"555","1992","Petroleum Imports","7887.697"
"556","1993","Petroleum Imports","8620.422"
"557","1994","Petroleum Imports","8996.222"
"558","1995","Petroleum Imports","8834.94"
"559","1996","Petroleum Imports","9478.492"
"560","1997","Petroleum Imports","10161.562"
"561","1998","Petroleum Imports","10708.071"
"562","1999","Petroleum Imports","10852.258"
"563","2000","Petroleum Imports","11459.251"
"564","2001","Petroleum Imports","11871.337"
"565","2002","Petroleum Imports","11530.241"
"566","2003","Petroleum Imports","12264.386"
"567","2004","Petroleum Imports","13145.093"
"568","2005","Petroleum Imports","13713.811"
"569","2006","Petroleum Imports","13707.074"
"570","2007","Petroleum Imports","13468.375"
"571","2008","Petroleum Imports","12915.284"
"572","2009","Petroleum Imports","11690.712"
"573","2010","Petroleum Imports","11793.241"
"574","2011","Petroleum Imports","11436.192"
"575","2012","Petroleum Imports","10597.956"
"576","2013","Petroleum Imports","9858.778"
"577","2014","Petroleum Imports","9240.833"
"578","2015","Petroleum Imports","9448.586"
"579","2016","Petroleum Imports","10055.265"
"580","2017","Petroleum Imports","10144.219"
"581","2018","Petroleum Imports","9942.581"
"582","2019","Petroleum Imports","9141.268"
"583","2020","Petroleum Imports","7863.087"
"584","2021","Petroleum Imports","8473.912"
"585","1949","Petroleum Exports","327.058"
"586","1950","Petroleum Exports","304.948"
"587","1951","Petroleum Exports","422.06"
"588","1952","Petroleum Exports","432.208"
"589","1953","Petroleum Exports","401.619"
"590","1954","Petroleum Exports","355.433"
"591","1955","Petroleum Exports","367.638"
"592","1956","Petroleum Exports","430.016"
"593","1957","Petroleum Exports","567.636"
"594","1958","Petroleum Exports","275.721"
"595","1959","Petroleum Exports","211.142"
"596","1960","Petroleum Exports","201.929"
"597","1961","Petroleum Exports","174.145"
"598","1962","Petroleum Exports","168.192"
"599","1963","Petroleum Exports","207.984"
"600","1964","Petroleum Exports","201.855"
"601","1965","Petroleum Exports","187.09"
"602","1966","Petroleum Exports","198.356"
"603","1967","Petroleum Exports","307.014"
"604","1968","Petroleum Exports","230.995"
"605","1969","Petroleum Exports","232.562"
"606","1970","Petroleum Exports","258.789"
"607","1971","Petroleum Exports","224.233"
"608","1972","Petroleum Exports","222.374"
"609","1973","Petroleum Exports","231.268"
"610","1974","Petroleum Exports","220.523"
"611","1975","Petroleum Exports","209.392"
"612","1976","Petroleum Exports","222.948"
"613","1977","Petroleum Exports","242.707"
"614","1978","Petroleum Exports","361.8"
"615","1979","Petroleum Exports","470.838"
"616","1980","Petroleum Exports","544.415"
"617","1981","Petroleum Exports","594.583"
"618","1982","Petroleum Exports","815.105"
"619","1983","Petroleum Exports","739.326"
"620","1984","Petroleum Exports","721.521"
"621","1985","Petroleum Exports","781.01"
"622","1986","Petroleum Exports","784.584"
"623","1987","Petroleum Exports","763.648"
"624","1988","Petroleum Exports","815.481"
"625","1989","Petroleum Exports","858.793"
"626","1990","Petroleum Exports","856.634"
"627","1991","Petroleum Exports","1000.935"
"628","1992","Petroleum Exports","949.683"
"629","1993","Petroleum Exports","1002.67"
"630","1994","Petroleum Exports","942.18"
"631","1995","Petroleum Exports","949.252"
"632","1996","Petroleum Exports","980.593"
"633","1997","Petroleum Exports","1003.447"
"634","1998","Petroleum Exports","944.54"
"635","1999","Petroleum Exports","939.773"
"636","2000","Petroleum Exports","1040.191"
"637","2001","Petroleum Exports","971.014"
"638","2002","Petroleum Exports","983.773"
"639","2003","Petroleum Exports","1026.597"
"640","2004","Petroleum Exports","1048.18"
"641","2005","Petroleum Exports","1164.903"
"642","2006","Petroleum Exports","1316.606"
"643","2007","Petroleum Exports","1432.546"
"644","2008","Petroleum Exports","1801.617"
"645","2009","Petroleum Exports","2024.119"
"646","2010","Petroleum Exports","2352.56"
"647","2011","Petroleum Exports","2985.884"
"648","2012","Petroleum Exports","3204.823"
"649","2013","Petroleum Exports","3621.335"
"650","2014","Petroleum Exports","4175.809"
"651","2015","Petroleum Exports","4738.022"
"652","2016","Petroleum Exports","5260.571"
"653","2017","Petroleum Exports","6375.769"
"654","2018","Petroleum Exports","7601.236"
"655","2019","Petroleum Exports","8471.424"
"656","2020","Petroleum Exports","8497.954"
"657","2021","Petroleum Exports","8535.789"
"658","1949","Petroleum Net Imports","318.31"
"659","1950","Petroleum Net Imports","545.082"
"660","1951","Petroleum Net Imports","422.307"
"661","1952","Petroleum Net Imports","519.997"
"662","1953","Petroleum Net Imports","632.625"
"663","1954","Petroleum Net Imports","696.499"
"664","1955","Petroleum Net Imports","880.482"
"665","1956","Petroleum Net Imports","1006.025"
"666","1957","Petroleum Net Imports","1006.581"
"667","1958","Petroleum Net Imports","1424.523"
"668","1959","Petroleum Net Imports","1568.537"
"669","1960","Petroleum Net Imports","1612.582"
"670","1961","Petroleum Net Imports","1742.748"
"671","1962","Petroleum Net Imports","1913.433"
"672","1963","Petroleum Net Imports","1914.518"
"673","1964","Petroleum Net Imports","2056.986"
"674","1965","Petroleum Net Imports","2280.778"
"675","1966","Petroleum Net Imports","2374.69"
"676","1967","Petroleum Net Imports","2229.948"
"677","1968","Petroleum Net Imports","2608.811"
"678","1969","Petroleum Net Imports","2933.332"
"679","1970","Petroleum Net Imports","3160.559"
"680","1971","Petroleum Net Imports","3701.466"
"681","1972","Petroleum Net Imports","4518.921"
"682","1973","Petroleum Net Imports","6024.877"
"683","1974","Petroleum Net Imports","5891.66"
"684","1975","Petroleum Net Imports","5846.321"
"685","1976","Petroleum Net Imports","7089.65"
"686","1977","Petroleum Net Imports","8564.542"
"687","1978","Petroleum Net Imports","8001.611"
"688","1979","Petroleum Net Imports","7985.29"
"689","1980","Petroleum Net Imports","6364.609"
"690","1981","Petroleum Net Imports","5401.09"
"691","1982","Petroleum Net Imports","4298.206"
"692","1983","Petroleum Net Imports","4312.027"
"693","1984","Petroleum Net Imports","4715.461"
"694","1985","Petroleum Net Imports","4286.134"
"695","1986","Petroleum Net Imports","5438.927"
"696","1987","Petroleum Net Imports","5914.048"
"697","1988","Petroleum Net Imports","6586.54"
"698","1989","Petroleum Net Imports","7201.752"
"699","1990","Petroleum Net Imports","7160.887"
"700","1991","Petroleum Net Imports","6625.813"
"701","1992","Petroleum Net Imports","6938.014"
"702","1993","Petroleum Net Imports","7617.752"
"703","1994","Petroleum Net Imports","8054.042"
"704","1995","Petroleum Net Imports","7885.689"
"705","1996","Petroleum Net Imports","8497.9"
"706","1997","Petroleum Net Imports","9158.115"
"707","1998","Petroleum Net Imports","9763.532"
"708","1999","Petroleum Net Imports","9912.486"
"709","2000","Petroleum Net Imports","10419.061"
"710","2001","Petroleum Net Imports","10900.323"
"711","2002","Petroleum Net Imports","10546.468"
"712","2003","Petroleum Net Imports","11237.789"
"713","2004","Petroleum Net Imports","12096.913"
"714","2005","Petroleum Net Imports","12548.908"
"715","2006","Petroleum Net Imports","12390.468"
"716","2007","Petroleum Net Imports","12035.83"
"717","2008","Petroleum Net Imports","11113.667"
"718","2009","Petroleum Net Imports","9666.594"
"719","2010","Petroleum Net Imports","9440.681"
"720","2011","Petroleum Net Imports","8450.308"
"721","2012","Petroleum Net Imports","7393.134"
"722","2013","Petroleum Net Imports","6237.443"
"723","2014","Petroleum Net Imports","5065.024"
"724","2015","Petroleum Net Imports","4710.565"
"725","2016","Petroleum Net Imports","4794.694"
"726","2017","Petroleum Net Imports","3768.45"
"727","2018","Petroleum Net Imports","2341.344"
"728","2019","Petroleum Net Imports","669.844"
"729","2020","Petroleum Net Imports","-634.866"
"730","2021","Petroleum Net Imports","-61.877"
"731","1949","Petroleum Stock Change","-7.814"
"732","1950","Petroleum Stock Change","-55.915"
"733","1951","Petroleum Stock Change","101.345"
"734","1952","Petroleum Stock Change","108.32"
"735","1953","Petroleum Stock Change","141.789"
"736","1954","Petroleum Stock Change","-28.97"
"737","1955","Petroleum Stock Change","-0.203"
"738","1956","Petroleum Stock Change","179.049"
"739","1957","Petroleum Stock Change","166.921"
"740","1958","Petroleum Stock Change","-140.027"
"741","1959","Petroleum Stock Change","50.737"
"742","1960","Petroleum Stock Change","-82.609"
"743","1961","Petroleum Stock Change","111.003"
"744","1962","Petroleum Stock Change","32.315"
"745","1963","Petroleum Stock Change","3.46"
"746","1964","Petroleum Stock Change","10.044"
"747","1965","Petroleum Stock Change","-7.921"
"748","1966","Petroleum Stock Change","104.441"
"749","1967","Petroleum Stock Change","172.619"
"750","1968","Petroleum Stock Change","151.533"
"751","1969","Petroleum Stock Change","-47.805"
"752","1970","Petroleum Stock Change","103.392"
"753","1971","Petroleum Stock Change","71.468"
"754","1972","Petroleum Stock Change","-232.153"
"755","1973","Petroleum Stock Change","135.145"
"756","1974","Petroleum Stock Change","179.011"
"757","1975","Petroleum Stock Change","32.436"
"758","1976","Petroleum Stock Change","-57.773"
"759","1977","Petroleum Stock Change","548.192"
"760","1978","Petroleum Stock Change","-93.921"
"761","1979","Petroleum Stock Change","173.268"
"762","1980","Petroleum Stock Change","139.661"
"763","1981","Petroleum Stock Change","159.992"
"764","1982","Petroleum Stock Change","-147.189"
"765","1983","Petroleum Stock Change","-20.06"
"766","1984","Petroleum Stock Change","280.301"
"767","1985","Petroleum Stock Change","-102.625"
"768","1986","Petroleum Stock Change","202.036"
"769","1987","Petroleum Stock Change","40.929"
"770","1988","Petroleum Stock Change","-27.921"
"771","1989","Petroleum Stock Change","-43.323"
"772","1990","Petroleum Stock Change","107.436"
"773","1991","Petroleum Stock Change","-10.079"
"774","1992","Petroleum Stock Change","-68.251"
"775","1993","Petroleum Stock Change","151.356"
"776","1994","Petroleum Stock Change","15.249"
"777","1995","Petroleum Stock Change","-246.392"
"778","1996","Petroleum Stock Change","-151.464"
"779","1997","Petroleum Stock Change","143.405"
"780","1998","Petroleum Stock Change","238.948"
"781","1999","Petroleum Stock Change","-422.038"
"782","2000","Petroleum Stock Change","-69.355"
"783","2001","Petroleum Stock Change","325.485"
"784","2002","Petroleum Stock Change","-105.312"
"785","2003","Petroleum Stock Change","55.871"
"786","2004","Petroleum Stock Change","209.022"
"787","2005","Petroleum Stock Change","145.592"
"788","2006","Petroleum Stock Change","58.899"
"789","2007","Petroleum Stock Change","-151.825"
"790","2008","Petroleum Stock Change","195.385"
"791","2009","Petroleum Stock Change","107.375"
"792","2010","Petroleum Stock Change","42.082"
"793","2011","Petroleum Stock Change","-137.891"
"794","2012","Petroleum Stock Change","151.163"
"795","2013","Petroleum Stock Change","-138.476"
"796","2014","Petroleum Stock Change","266.893"
"797","2015","Petroleum Stock Change","430.87"
"798","2016","Petroleum Stock Change","125.253"
"799","2017","Petroleum Stock Change","-364.068"
"800","2018","Petroleum Stock Change","44.045"
"801","2019","Petroleum Stock Change","28.275"
"802","2020","Petroleum Stock Change","176.467"
"803","2021","Petroleum Stock Change","-526.573"
"804","1949","Petroleum Adjustments","-38.266"
"805","1950","Petroleum Adjustments","-50.605"
"806","1951","Petroleum Adjustments","-31.167"
"807","1952","Petroleum Adjustments","-16.112"
"808","1953","Petroleum Adjustments","-22.29"
"809","1954","Petroleum Adjustments","-25.844"
"810","1955","Petroleum Adjustments","-36.721"
"811","1956","Petroleum Adjustments","-45.53"
"812","1957","Petroleum Adjustments","-49.964"
"813","1958","Petroleum Adjustments","-27.386"
"814","1959","Petroleum Adjustments","-10.082"
"815","1960","Petroleum Adjustments","-8.175"
"816","1961","Petroleum Adjustments","-8.721"
"817","1962","Petroleum Adjustments","-9.244"
"818","1963","Petroleum Adjustments","-9.564"
"819","1964","Petroleum Adjustments","-9.762"
"820","1965","Petroleum Adjustments","-9.992"
"821","1966","Petroleum Adjustments","-10.353"
"822","1967","Petroleum Adjustments","-8.734"
"823","1968","Petroleum Adjustments","17.434"
"824","1969","Petroleum Adjustments","-7.093"
"825","1970","Petroleum Adjustments","-15.921"
"826","1971","Petroleum Adjustments","45.066"
"827","1972","Petroleum Adjustments","42.836"
"828","1973","Petroleum Adjustments","18.458"
"829","1974","Petroleum Adjustments","-2.236"
"830","1975","Petroleum Adjustments","40.899"
"831","1976","Petroleum Adjustments","100.801"
"832","1977","Petroleum Adjustments","28.397"
"833","1978","Petroleum Adjustments","-20.101"
"834","1979","Petroleum Adjustments","38.134"
"835","1980","Petroleum Adjustments","63.784"
"836","1981","Petroleum Adjustments","128.779"
"837","1982","Petroleum Adjustments","120.837"
"838","1983","Petroleum Adjustments","164.915"
"839","1984","Petroleum Adjustments","228.345"
"840","1985","Petroleum Adjustments","199.704"
"841","1986","Petroleum Adjustments","196.661"
"842","1987","Petroleum Adjustments","208.548"
"843","1988","Petroleum Adjustments","249.237"
"844","1989","Petroleum Adjustments","260.042"
"845","1990","Petroleum Adjustments","337.598"
"846","1991","Petroleum Adjustments","287.099"
"847","1992","Petroleum Adjustments","386.325"
"848","1993","Petroleum Adjustments","421.667"
"849","1994","Petroleum Adjustments","523.206"
"850","1995","Petroleum Adjustments","496.385"
"851","1996","Petroleum Adjustments","527.63"
"852","1997","Petroleum Adjustments","487.306"
"853","1998","Petroleum Adjustments","495.108"
"854","1999","Petroleum Adjustments","567.439"
"855","2000","Petroleum Adjustments","532.294"
"856","2001","Petroleum Adjustments","500.887"
"857","2002","Petroleum Adjustments","528.643"
"858","2003","Petroleum Adjustments","508.996"
"859","2004","Petroleum Adjustments","542.049"
"860","2005","Petroleum Adjustments","508.629"
"861","2006","Petroleum Adjustments","537.206"
"862","2007","Petroleum Adjustments","640.131"
"863","2008","Petroleum Adjustments","803.448"
"864","2009","Petroleum Adjustments","220.784"
"865","2010","Petroleum Adjustments","246.315"
"866","2011","Petroleum Adjustments","324.998"
"867","2012","Petroleum Adjustments","285.45"
"868","2013","Petroleum Adjustments","398.523"
"869","2014","Petroleum Adjustments","359.266"
"870","2015","Petroleum Adjustments","311.026"
"871","2016","Petroleum Adjustments","389.271"
"872","2017","Petroleum Adjustments","368.529"
"873","2018","Petroleum Adjustments","519.659"
"874","2019","Petroleum Adjustments","567.81"
"875","2020","Petroleum Adjustments","573.244"
"876","2021","Petroleum Adjustments","654.91"
"877","1949","Petroleum Products Supplied","5763.038"
"878","1950","Petroleum Products Supplied","6457.918"
"879","1951","Petroleum Products Supplied","7016.132"
"880","1952","Petroleum Products Supplied","7269.617"
"881","1953","Petroleum Products Supplied","7599.627"
"882","1954","Petroleum Products Supplied","7756.033"
"883","1955","Petroleum Products Supplied","8455.348"
"884","1956","Petroleum Products Supplied","8775.199"
"885","1957","Petroleum Products Supplied","8809.011"
"886","1958","Petroleum Products Supplied","9117.789"
"887","1959","Petroleum Products Supplied","9526.501"
"888","1960","Petroleum Products Supplied","9797.322"
"889","1961","Petroleum Products Supplied","9976.11"
"890","1962","Petroleum Products Supplied","10400.079"
"891","1963","Petroleum Products Supplied","10743.463"
"892","1964","Petroleum Products Supplied","11022.503"
"893","1965","Petroleum Products Supplied","11512.436"
"894","1966","Petroleum Products Supplied","12084.373"
"895","1967","Petroleum Products Supplied","12560.345"
"896","1968","Petroleum Products Supplied","13392.866"
"897","1969","Petroleum Products Supplied","14136.795"
"898","1970","Petroleum Products Supplied","14697.186"
"899","1971","Petroleum Products Supplied","15212.493"
"900","1972","Petroleum Products Supplied","16366.984"
"901","1973","Petroleum Products Supplied","17307.679"
"902","1974","Petroleum Products Supplied","16652.71"
"903","1975","Petroleum Products Supplied","16321.959"
"904","1976","Petroleum Products Supplied","17461.066"
"905","1977","Petroleum Products Supplied","18431.419"
"906","1978","Petroleum Products Supplied","18846.622"
"907","1979","Petroleum Products Supplied","18512.54"
"908","1980","Petroleum Products Supplied","17055.861"
"909","1981","Petroleum Products Supplied","16057.696"
"910","1982","Petroleum Products Supplied","15295.72"
"911","1983","Petroleum Products Supplied","15231.134"
"912","1984","Petroleum Products Supplied","15725.615"
"913","1985","Petroleum Products Supplied","15726.418"
"914","1986","Petroleum Products Supplied","16280.627"
"915","1987","Petroleum Products Supplied","16665.046"
"916","1988","Petroleum Products Supplied","17283.31"
"917","1989","Petroleum Products Supplied","17325.153"
"918","1990","Petroleum Products Supplied","16988.496"
"919","1991","Petroleum Products Supplied","16713.836"
"920","1992","Petroleum Products Supplied","17032.855"
"921","1993","Petroleum Products Supplied","17236.731"
"922","1994","Petroleum Products Supplied","17718.159"
"923","1995","Petroleum Products Supplied","17724.589"
"924","1996","Petroleum Products Supplied","18308.904"
"925","1997","Petroleum Products Supplied","18620.304"
"926","1998","Petroleum Products Supplied","18917.14"
"927","1999","Petroleum Products Supplied","19519.337"
"928","2000","Petroleum Products Supplied","19701.077"
"929","2001","Petroleum Products Supplied","19648.707"
"930","2002","Petroleum Products Supplied","19761.304"
"931","2003","Petroleum Products Supplied","20033.507"
"932","2004","Petroleum Products Supplied","20731.15"
"933","2005","Petroleum Products Supplied","20802.162"
"934","2006","Petroleum Products Supplied","20687.418"
"935","2007","Petroleum Products Supplied","20680.378"
"936","2008","Petroleum Products Supplied","19497.964"
"937","2009","Petroleum Products Supplied","18771.4"
"938","2010","Petroleum Products Supplied","19177.537"
"939","2011","Petroleum Products Supplied","18895.505"
"940","2012","Petroleum Products Supplied","18482.353"
"941","2013","Petroleum Products Supplied","18966.518"
"942","2014","Petroleum Products Supplied","19100.466"
"943","2015","Petroleum Products Supplied","19531.632"
"944","2016","Petroleum Products Supplied","19691.898"
"945","2017","Petroleum Products Supplied","19951.924"
"946","2018","Petroleum Products Supplied","20511.589"
"947","2019","Petroleum Products Supplied","20542.854"
"948","2020","Petroleum Products Supplied","18185.909"
"949","2021","Petroleum Products Supplied","19889.88"
